count,loop start,loop end,loop end -loop start,next start-curr start,next end -curr end,,,,Average,,
285,1618926121,1618926121,0.040889978,0.040889978,0.037899971,,,,,,
286,1618926121,1618926121,0.037899971,0.037899971,0.039890051,,,,,,
287,1618926121,1618926121,0.039890051,0.039890051,0.033910036,,,,,,
288,1618926121,1618926121,0.033910036,0.033910036,0.034909964,,,,,,
289,1618926121,1618926121,0.034909964,0.034909964,0.034909964,,,,,,
290,1618926121,1618926121,0.034909964,0.034909964,0.043879986,,,,,,
291,1618926121,1618926121,0.043879986,0.043879986,0.046869993,,,,,,
292,1618926121,1618926121,0.046869993,0.046869993,0.034909964,,,,,,
293,1618926121,1618926121,0.034909964,0.034909964,0.033910036,,,,,,
294,1618926121,1618926121,0.033910036,0.033910036,0.033910036,,,,,,
295,1618926121,1618926122,0.033910036,0.033910036,0.03489995,,,,,,
296,1618926122,1618926122,0.03489995,0.03489995,0.03591013,,,,,,
297,1618926122,1618926122,0.03591013,0.03591013,0.047869921,,,,,,
298,1618926122,1618926122,0.047869921,0.047869921,0.038899899,,,,,,
299,1618926122,1618926122,0.038899899,0.038899899,0.034900188,,,,,,
300,1618926122,1618926122,0.034900188,0.034900188,0.036909819,,,,,,
301,1618926122,1618926122,0.036909819,0.036909819,0.034900188,,,,,,
302,1618926122,1618926122,0.034900188,0.034900188,0.086390018,,,,,,
303,1618926122,1618926122,0.086390018,0.086390018,0.058839798,,,,,,
304,1618926122,1618926122,0.058839798,0.058839798,0.03591013,,,,,,
305,1618926122,1618926122,0.03591013,0.03591013,0.045880079,,,,,,
306,1618926122,1618926122,0.045880079,0.045880079,0.047869921,,,,,,
307,1618926122,1618926122,0.047869921,0.047869921,0.036900043,,,,,,
308,1618926122,1618926122,0.036900043,0.036900043,0.056849957,,,,,,
309,1618926122,1618926122,0.056849957,0.056849957,0.049860001,,,,,,
310,1618926122,1618926122,0.049860001,0.049860001,0.050869942,,,,,,
311,1618926122,1618926122,0.050869942,0.050869942,0.049860001,,,,,,
312,1618926122,1618926122,0.049860001,0.049860001,0.034909964,,,,,,
313,1618926122,1618926122,0.034909964,0.034909964,0.045880079,,,,,,
314,1618926122,1618926122,0.045880079,0.045880079,0.037899971,,,,,,
315,1618926122,1618926122,0.037899971,0.037899971,0.033910036,,,,,,
316,1618926122,1618926122,0.033910036,0.033910036,0.03489995,,,,,,
317,1618926122,1618926122,0.03489995,0.03489995,0.039900064,,,,,,
318,1618926122,1618926123,0.039900064,0.039900064,0.033910036,,,,,,
319,1618926123,1618926123,0.033910036,0.033910036,0.037899971,,,,,,
320,1618926123,1618926123,0.037899971,0.037899971,0.046880007,,,,,,
321,1618926123,1618926123,0.046880007,0.046880007,0.033910036,,,,,,
322,1618926123,1618926123,0.033910036,0.033910036,0.035899878,,,,,,
323,1618926123,1618926123,0.035899878,0.035899878,0.03489995,,,,,,
324,1618926123,1618926123,0.03489995,0.03489995,0.041890144,,,,,,
325,1618926123,1618926123,0.041890144,0.041890144,0.046869993,,,,,,
326,1618926123,1618926123,0.046869993,0.046869993,0.042889833,,,,,,
327,1618926123,1618926123,0.042889833,0.042889833,0.040890217,,,,,,
328,1618926123,1618926123,0.040890217,0.040890217,0.040889978,,,,,,
329,1618926123,1618926123,0.040889978,0.040889978,0.048869848,,,,,,
330,1618926123,1618926123,0.048869848,0.048869848,0.035900116,,,,,,
331,1618926123,1618926123,0.035900116,0.035900116,0.045879841,,,,,,
332,1618926123,1618926123,0.045879841,0.045879841,0.052370071,,,,,,
333,1618926123,1618926123,0.052370071,0.052370071,0.044880152,,,,,,
334,1618926123,1618926123,0.044880152,0.044880152,0.04287982,,,,,,
335,1618926123,1618926123,0.04287982,0.04287982,0.044890165,,,,,,
336,1618926123,1618926123,0.044890165,0.044890165,0.044879913,,,,,,
337,1618926123,1618926123,0.044879913,0.044879913,0.050869942,,,,,,
338,1618926123,1618926123,0.050869942,0.050869942,0.037899971,,,,,,
339,1618926123,1618926123,0.037899971,0.037899971,0.040879965,,,,,,
340,1618926123,1618926123,0.040879965,0.040879965,0.047880173,,,,,,
341,1618926123,1618926123,0.047880173,0.047880173,0.038889885,,,,,,
342,1618926123,1618926124,0.038889885,0.038889885,0.045880079,,,,,,
343,1618926124,1618926124,0.045880079,0.045880079,0.047179937,,,,,,
344,1618926124,1618926124,0.047179937,0.047179937,0.040889978,,,,,,
345,1618926124,1618926124,0.040889978,0.040889978,0.035900116,,,,,,
346,1618926124,1618926124,0.035900116,0.035900116,0.037899971,,,,,,
347,1618926124,1618926124,0.037899971,0.037899971,0.036900043,,,,,,
348,1618926124,1618926124,0.036900043,0.036900043,0.040249825,,,,,,
349,1618926124,1618926124,0.040249825,0.040249825,0.05087018,,,,,,
350,1618926124,1618926124,0.05087018,0.05087018,0.040339947,,,,,,
351,1618926124,1618926124,0.040339947,0.040339947,0.034909964,,,,,,
352,1618926124,1618926124,0.034909964,0.034909964,0.035900116,,,,,,
353,1618926124,1618926124,0.035900116,0.035900116,0.034909964,,,,,,
354,1618926124,1618926124,0.034909964,0.034909964,0.036900043,,,,,,
355,1618926124,1618926124,0.036900043,0.036900043,0.044879913,,,,,,
356,1618926124,1618926124,0.044879913,0.044879913,0.046880007,,,,,,
357,1618926124,1618926124,0.046880007,0.046880007,0.041879892,,,,,,
358,1618926124,1618926124,0.041879892,0.041879892,0.037899971,,,,,,
359,1618926124,1618926124,0.037899971,0.037899971,0.035950184,,,,,,
360,1618926124,1618926124,0.035950184,0.035950184,0.038899899,,,,,,
361,1618926124,1618926124,0.038899899,0.038899899,0.040889978,,,,,,
362,1618926124,1618926124,0.040889978,0.040889978,0.042880058,,,,,,
363,1618926124,1618926124,0.042880058,0.042880058,0.049870014,,,,,,
364,1618926124,1618926124,0.049870014,0.049870014,0.042880058,,,,,,
365,1618926124,1618926124,0.042880058,0.042880058,0.038899899,,,,,,
366,1618926124,1618926125,0.038899899,0.038899899,0.042890072,,,,,,
367,1618926125,1618926125,0.042890072,0.042890072,0.040889978,,,,,,
368,1618926125,1618926125,0.040889978,0.040889978,0.041879892,,,,,,
369,1618926125,1618926125,0.041879892,0.041879892,0.034909964,,,,,,
370,1618926125,1618926125,0.034909964,0.034909964,0.039900064,,,,,,
371,1618926125,1618926125,0.039900064,0.039900064,0.045870066,,,,,,
372,1618926125,1618926125,0.045870066,0.045870066,0.041889906,,,,,,
373,1618926125,1618926125,0.041889906,0.041889906,0.041890144,,,,,,
374,1618926125,1618926125,0.041890144,0.041890144,0.046389818,,,,,,
375,1618926125,1618926125,0.046389818,0.046389818,0.053850174,,,,,,
376,1618926125,1618926125,0.053850174,0.053850174,0.036900043,,,,,,
377,1618926125,1618926125,0.036900043,0.036900043,0.044879913,,,,,,
378,1618926125,1618926125,0.044879913,0.044879913,0.049089909,,,,,,
379,1618926125,1618926125,0.049089909,0.049089909,0.053860188,,,,,,
380,1618926125,1618926125,0.053860188,0.053860188,0.042889833,,,,,,
381,1618926125,1618926125,0.042889833,0.042889833,0.033910036,,,,,,
382,1618926125,1618926125,0.033910036,0.033910036,0.033910036,,,,,,
383,1618926125,1618926125,0.033910036,0.033910036,0.035899878,,,,,,
384,1618926125,1618926125,0.035899878,0.035899878,0.036900043,,,,,,
